"DisplayName";"DisplayVersion"
"Battle.net";
;
"GoLand 2024.3.1";"243.22562.186"
"Hearthstone";
"Kaspersky Secure Connection";"21.14.5.462"
"Kaspersky";"21.19.7.527"
"Invisible Secrets 4";"4"
"Microsoft Edge";"132.0.2957.115"
;"1.3.195.43"
"Среда выполнения Microsoft Edge WebView2 Runtime";"132.0.2957.115"
"Masker 7.1";
"PyCharm Community Edition 2023.2.5";"232.10227.11"
"Reindexer server";"4.19.0"
"Steam";"2.10.91.91"
;
"Yandex (All Users)";"24.12.3.781"
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501";"12.0.30501.0"
"Microsoft Visual C++ 2022 X86 Additional Runtime - 14.34.31938";"14.34.31938"
"Microsoft Windows Desktop Runtime - 6.0.10 (x86)";"48.43.48870"
"Microsoft .NET Runtime - 5.0.10 (x86)";"40.40.30412"
;
;
;
"Microsoft .NET Host FX Resolver - 5.0.10 (x86)";"40.40.30412"
"Python Launcher";"3.12.150.0"
"Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030";"11.0.61030.0"
"EA app";"13.314.0.5827"
"Microsoft .NET Host - 6.0.10 (x86)";"48.43.48869"
"The Sims™ 4";"1.109.207.1020"
"Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.34.31938";"14.34.31938.0"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40664";"12.0.40664"
"Kaspersky Secure Connection";"21.14.5.462"
"Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.34.31938";"14.34.31938"
"Safe Exam Browser";"3.5.0.544"
"Microsoft .NET Runtime - 6.0.10 (x86)";"48.43.48869"
"Kaspersky";"21.19.7.527"
"Microsoft Windows Desktop Runtime - 6.0.10 (x86)";"6.0.10.31726"
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40664";"12.0.40664.0"
"Adobe Refresh Manager";"1.8.0"
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030";"11.0.61030"
"Microsoft Windows Desktop Runtime - 5.0.10 (x86)";"5.0.10.30418"
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030";"11.0.61030"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40664";"12.0.40664"
"Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.34.31938";"14.34.31938.0"
"Microsoft Windows Desktop Runtime - 5.0.10 (x86)";"40.40.30418"
"Mathcad 15 M050";"15.0.5.0"
"Microsoft .NET Host FX Resolver - 6.0.10 (x86)";"48.43.48869"
"WebkitSupport";"1.0.0"
"Microsoft .NET Host - 5.0.10 (x86)";"40.40.30412"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219";"10.0.40219"
;
;
;
;
;
;
;
;
;
;
;
;
;
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501";"12.0.30501.0"
